open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
195.25,197.38,194.467,196.92,15365900.0,197.38,194.4673,196.92,195.25,15383679.0,1.0,0.0,GOOG,XNAS,2025-08-06 00:00:00+00:00
530.9,531.7,524.03,524.94,21322500.0,531.7,524.03,524.94,530.9,21355702.0,1.0,0.0,MSFT,XNAS,2025-08-06 00:00:00+00:00
218.88,220.85,216.58,220.03,89932900.0,220.85,216.58,220.03,218.875,90224834.0,1.0,0.0,AAPL,XNAS,2025-08-07 00:00:00+00:00
197.71,198.37,195.22,197.28,14641800.0,198.37,195.22,197.28,197.71,14660550.0,1.0,0.0,GOOG,XNAS,2025-08-07 00:00:00+00:00
526.8,528.09,517.55,520.84,16056600.0,528.09,517.5511,520.84,526.8,16079144.0,1.0,0.0,MSFT,XNAS,2025-08-07 00:00:00+00:00
220.83,231.0,219.25,229.35,113696100.0,231.0,219.25,229.35,220.83,113853967.0,1.0,0.0,AAPL,XNAS,2025-08-08 00:00:00+00:00
197.98,203.43,197.9,202.09,24356300.0,203.43,197.9,202.09,197.98,24379909.0,1.0,0.0,GOOG,XNAS,2025-08-08 00:00:00+00:00
522.6,524.66,519.41,522.04,15516600.0,524.66,519.41,522.04,522.6,15531009.0,1.0,0.0,MSFT,XNAS,2025-08-08 00:00:00+00:00
227.92,229.56,224.76,227.18,61725300.0,229.56,224.76,227.18,227.92,61806132.0,1.0,0.0,AAPL,XNAS,2025-08-11 00:00:00+00:00
201.555,202.16,199.8,201.63,16679600.0,202.16,199.8,201.63,201.555,16690235.0,1.0,0.0,GOOG,XNAS,2025-08-11 00:00:00+00:00
522.3,527.59,519.72,521.77,20180800.0,527.59,519.72,521.77,522.3,20194372.0,1.0,0.0,MSFT,XNAS,2025-08-11 00:00:00+00:00
228.01,230.8,227.07,229.65,55626200.0,230.8,227.07,229.65,228.005,55672301.0,1.0,0.0,AAPL,XNAS,2025-08-12 00:00:00+00:00
202.095,205.13,201.4,204.16,19854000.0,205.13,201.4,204.16,202.095,19871996.0,1.0,0.0,GOOG,XNAS,2025-08-12 00:00:00+00:00
523.75,530.98,522.7,529.24,18667000.0,530.98,522.7,529.24,523.75,18688921.0,1.0,0.0,MSFT,XNAS,2025-08-12 00:00:00+00:00
231.07,235.0,230.43,233.33,69833200.0,235.0,230.43,233.33,231.07,69878546.0,1.0,0.0,AAPL,XNAS,2025-08-13 00:00:00+00:00
204.98,205.43,198.64,203.03,19561800.0,205.43,198.64,203.03,204.98,19573041.0,1.0,0.0,GOOG,XNAS,2025-08-13 00:00:00+00:00
532.11,532.7,519.37,520.58,19587300.0,532.7,519.37,520.58,532.11,19619160.0,1.0,0.0,MSFT,XNAS,2025-08-13 00:00:00+00:00
